"code";"deb_sem";"sites";"perc_rank"
"2016_24";"2016-06-13";"abon";80
"2016_23";"2016-06-06";"abon";93
"2016_22";"2016-05-30";"abon";82
"2016_21";"2016-05-23";"abon";95
"2016_20";"2016-05-16";"abon";84
"2016_19";"2016-05-09";"abon";93
"2016_18";"2016-05-02";"abon";86
"2016_17";"2016-04-25";"abon";100
"2016_16";"2016-04-18";"abon";66
"2016_15";"2016-04-11";"abon";98
"2016_14";"2016-04-04";"abon";93
"2016_13";"2016-03-28";"abon";80
"2016_12";"2016-03-21";"abon";66
"2016_11";"2016-03-14";"abon";73
"2016_10";"2016-03-07";"abon";80
"2016_09";"2016-02-29";"abon";73
"2016_08";"2016-02-22";"abon";73
"2016_07";"2016-02-15";"abon";55
"2016_06";"2016-02-08";"abon";66
"2016_05";"2016-02-01";"abon";55
"2016_04";"2016-01-25";"abon";55
"2016_03";"2016-01-18";"abon";43
"2016_02";"2016-01-11";"abon";43
"2016_01";"2016-01-04";"abon";55
"2015_53";"2015-12-28";"abon";0
"2015_52";"2015-12-21";"abon";0
"2015_51";"2015-12-14";"abon";0
"2015_50";"2015-12-07";"abon";0
"2015_49";"2015-11-30";"abon";43
"2015_48";"2015-11-23";"abon";43
"2015_47";"2015-11-16";"abon";43
"2015_46";"2015-11-09";"abon";43
"2015_45";"2015-11-02";"abon";43
"2015_44";"2015-10-26";"abon";43
"2015_43";"2015-10-19";"abon";43
"2015_42";"2015-10-12";"abon";43
"2015_41";"2015-10-05";"abon";43
"2015_40";"2015-09-28";"abon";43
"2015_39";"2015-09-21";"abon";43
"2015_38";"2015-09-14";"abon";43
"2015_37";"2015-09-07";"abon";66
"2015_36";"2015-08-31";"abon";43
"2015_35";"2015-08-24";"abon";43
"2015_34";"2015-08-17";"abon";43
"2015_33";"2015-08-10";"abon";66
"2015_32";"2015-08-03";"abon";55
"2015_31";"2015-07-27";"abon";43
"2015_30";"2015-07-20";"abon";43
"2015_29";"2015-07-13";"abon";0
"2015_28";"2015-07-06";"abon";0
"2015_27";"2015-06-29";"abon";0
"2015_26";"2015-06-22";"abon";0
"2015_25";"2015-06-15";"abon";0
"2015_24";"2015-06-08";"abon";0
"2015_23";"2015-06-01";"abon";0
"2015_22";"2015-05-25";"abon";0
"2015_21";"2015-05-18";"abon";0
"2015_20";"2015-05-11";"abon";0
"2015_19";"2015-05-04";"abon";0
"2015_18";"2015-04-27";"abon";0
"2015_17";"2015-04-20";"abon";0
"2015_16";"2015-04-13";"abon";0
"2015_15";"2015-04-06";"abon";0
"2015_14";"2015-03-30";"abon";0
"2015_13";"2015-03-23";"abon";0
"2015_12";"2015-03-16";"abon";0
"2015_11";"2015-03-09";"abon";0
"2015_10";"2015-03-02";"abon";0
"2015_09";"2015-02-23";"abon";0
"2015_08";"2015-02-16";"abon";0
"2015_07";"2015-02-09";"abon";0
"2015_06";"2015-02-02";"abon";0
"2015_05";"2015-01-26";"abon";0
"2015_04";"2015-01-19";"abon";0
"2015_03";"2015-01-12";"abon";0
"2015_02";"2015-01-05";"abon";0
"2015_01";"2014-12-29";"abon";0
"2014_52";"2014-12-22";"abon";0
"2014_51";"2014-12-15";"abon";0
"2014_50";"2014-12-08";"abon";0
"2014_49";"2014-12-01";"abon";0
"2014_48";"2014-11-24";"abon";0
"2014_47";"2014-11-17";"abon";0
"2014_46";"2014-11-10";"abon";0
"2014_45";"2014-11-03";"abon";0
"2014_44";"2014-10-27";"abon";0
"2014_43";"2014-10-20";"abon";0
"2014_42";"2014-10-13";"abon";0
"2014_41";"2014-10-06";"abon";0
"2014_40";"2014-09-29";"abon";0
"2014_39";"2014-09-22";"abon";0
"2014_38";"2014-09-15";"abon";0
"2014_37";"2014-09-08";"abon";0
"2014_36";"2014-09-01";"abon";0
"2014_35";"2014-08-25";"abon";0
"2014_34";"2014-08-18";"abon";0
"2014_33";"2014-08-11";"abon";0
"2014_32";"2014-08-04";"abon";0
"2014_31";"2014-07-28";"abon";0
"2014_30";"2014-07-21";"abon";0
"2014_29";"2014-07-14";"abon";0
"2014_28";"2014-07-07";"abon";0
"2014_27";"2014-06-30";"abon";0
"2014_26";"2014-06-23";"abon";0
"2014_25";"2014-06-16";"abon";0
"2014_24";"2014-06-09";"abon";0
"2014_23";"2014-06-02";"abon";0
"2014_22";"2014-05-26";"abon";0
"2014_21";"2014-05-19";"abon";0
"2014_20";"2014-05-12";"abon";0
"2014_19";"2014-05-05";"abon";0
"2014_18";"2014-04-28";"abon";0
"2014_17";"2014-04-21";"abon";0
"2014_16";"2014-04-14";"abon";0
"2014_15";"2014-04-07";"abon";0
"2014_14";"2014-03-31";"abon";0
"2014_13";"2014-03-24";"abon";0
"2014_12";"2014-03-17";"abon";0
"2014_11";"2014-03-10";"abon";0
"2014_10";"2014-03-03";"abon";0
"2014_09";"2014-02-24";"abon";0
"2014_08";"2014-02-17";"abon";0
"2014_07";"2014-02-10";"abon";0
"2014_06";"2014-02-03";"abon";0
"2014_05";"2014-01-27";"abon";0
"2014_04";"2014-01-20";"abon";0
"2014_03";"2014-01-13";"abon";0
"2014_02";"2014-01-06";"abon";0
"2014_01";"2013-12-30";"abon";0
"2013_52";"2013-12-23";"abon";0
"2013_51";"2013-12-16";"abon";0
"2013_50";"2013-12-09";"abon";0
"2013_49";"2013-12-02";"abon";0
"2013_48";"2013-11-25";"abon";0
"2013_47";"2013-11-18";"abon";0
"2013_46";"2013-11-11";"abon";0
"2013_45";"2013-11-04";"abon";0
"2013_44";"2013-10-28";"abon";0
"2013_43";"2013-10-21";"abon";0
"2013_42";"2013-10-14";"abon";0
"2013_41";"2013-10-07";"abon";0
"2013_40";"2013-09-30";"abon";0
"2013_39";"2013-09-23";"abon";0
"2013_38";"2013-09-16";"abon";0
"2013_37";"2013-09-09";"abon";0
"2013_36";"2013-09-02";"abon";0
"2013_35";"2013-08-26";"abon";0
"2013_34";"2013-08-19";"abon";0
"2013_33";"2013-08-12";"abon";0
"2013_32";"2013-08-05";"abon";0
"2013_31";"2013-07-29";"abon";0
"2013_30";"2013-07-22";"abon";0
"2013_29";"2013-07-15";"abon";0
"2013_28";"2013-07-08";"abon";0
"2013_27";"2013-07-01";"abon";0
"2013_26";"2013-06-24";"abon";0
"2013_25";"2013-06-17";"abon";0
"2013_24";"2013-06-10";"abon";0
"2013_23";"2013-06-03";"abon";0
"2013_22";"2013-05-27";"abon";0
"2013_21";"2013-05-20";"abon";0
"2013_20";"2013-05-13";"abon";0
"2013_19";"2013-05-06";"abon";0
"2013_18";"2013-04-29";"abon";0
"2013_17";"2013-04-22";"abon";0
"2013_16";"2013-04-15";"abon";0
"2013_15";"2013-04-08";"abon";0
"2013_14";"2013-04-01";"abon";0
"2013_13";"2013-03-25";"abon";0
"2013_12";"2013-03-18";"abon";0
"2013_11";"2013-03-11";"abon";0
"2013_10";"2013-03-04";"abon";0
"2013_09";"2013-02-25";"abon";0
"2013_08";"2013-02-18";"abon";0
"2013_07";"2013-02-11";"abon";0
"2013_06";"2013-02-04";"abon";0
"2013_05";"2013-01-28";"abon";0
"2013_04";"2013-01-21";"abon";0
